"Priority","ID","Pattern_ID","Conditions","Impact","WCAG_SC","WCAG_Level","WCAG_Name","Rule_ID","Pages_Affected","Pct_Pages","Is_Template_Issue","Summary","Selector","Likely_Template","Drupal_File","Expected","Actual","Suggested_Fix","Drupal_Issue","Axe_URL","Instance_IDs","Affected_Page_Paths"
"1","DRUPAL-A11Y-001","DRU-6CA3D5EB","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","critical","1.3.1","A","Info and Relationships","label","4","1%","YES","label: Ensure every form element has a label","#edit-imagefile-file-limited-N-display","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/label?application=playwright","INS-94BD37A1; INS-B2D7B1D7; INS-7B9BD2A8; INS-F76BAB53","/contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_file; /contact/imagefile_file"
"2","DRUPAL-A11Y-002","DRU-987EB788","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","1.3.1","A","Info and Relationships","label-title-only","18","4%","YES","""Select all rows"" checkbox is labeled only by its title attribute","input[title=""Select all rows in this table""]","unknown","core/themes/claro/templates/classy/dataset/table.html.twig     core/themes/admin/templates/dataset/table.html.twig","Checkbox has a visible or visually-hidden <label>, or aria-label","input[title=""Select all rows in this table""] — title is the sole label source","Replace the title-only label with aria-label:  <!-- Before (broken) --> <input type=""checkbox"" title=""{{ 'Select all rows in this table'|t }}"">  <!-- After (fixed) --> <input type=""checkbox""   aria-label=""{{ 'Select all rows in this table'|t }}"">","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/label-title-only?application=playwright","INS-631CA206; INS-5F43B594; INS-D6A47BCB; INS-D9AD9720; INS-AFFA444F; INS-41328F01; INS-311ACB28; INS-70DF180C; INS-F4DA69C2; INS-098B09CD; INS-DA8EC130; INS-15986FAB; INS-9D772808; INS-2C5FBD36; INS-CB68FC02; INS-50910191; INS-24B11422; INS-96198CAB","/admin/people; /admin/people; /admin/content; /admin/content; /table; /table; /admin/content; /admin/content; /admin/content; /admin/content; /table; /table; /contact/checkbox_radio; /contact/checkbox_radio; /contact/checkbox_radio; /contact/checkbox_radio; /table; /table"
"3","DRUPAL-A11Y-003","DRU-44C01FEA","claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile | admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","1.4.3","AA","Contrast (Minimum)","color-contrast","24","5%","YES","color-contrast: Ensure the contrast between foreground and background colors meets WCAG 2 AA min","#edit-submit","unknown","See likely_template above","","","Check foreground/background color combinations. Ensure ratio ≥ 4.5:1 for normal text, ≥ 3:1 for large text (18pt or 14pt bold). Update the relevant CSS file.","","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=playwright","INS-FF0DA1EB; INS-2484DC91; INS-C1A3581E; INS-4A227943; INS-71EFBE79; INS-CEE7A7E5; INS-599E4E6F; INS-D6C3D79C; INS-4FF78378; INS-15BCDDA4; INS-DE80BAA9; INS-F76983F2; INS-2F192593; INS-A658A5E7; INS-BE832DAC; INS-32A7C8C3; INS-CC4E5B84; INS-4F001513; INS-57557F7B; INS-1E91D181; INS-E4C3D7C6; INS-C6066AD3; INS-B74E58E8; INS-1763A2E3","/admin/content; /admin/content; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/people; /admin/structure/block; /admin/structure/block; /admin/structure/block; /admin/structure/block; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/types/add"
"4","DRUPAL-A11Y-004","DRU-CC36FB25","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","serious","2.4.3","A","Focus Order","tabindex","12","3%","YES","tabindex: Ensure tabindex attribute values are not greater than 0","#edit-submit","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/tabindex?application=playwright","INS-8D919E9F; INS-CAB80BF0; INS-A357FA62; INS-1A8E3C8A; INS-4881B6B1; INS-156540A8; INS-00588EC7; INS-3F6254E0; INS-2C9CAF62; INS-C767C3EA; INS-4C49F093; INS-E7E947B6","/buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons; /buttons"
"5","DRUPAL-A11Y-005","DRU-697B741E","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile","serious","2.5.8","AA","Target Size (Minimum)","target-size","38","8%","YES","target-size: Ensure touch targets have sufficient size and space","tr[data-drupal-selector=""edit-terms-tid10""] > .tabledrag-cell > .tabledrag-cell-content.js-tabledrag-cell-content > .tabledrag-cell-content__item > .tabledrag-handle[href=""#""][title=""Move in any direction""]","unknown","See likely_template above","","","Ensure interactive elements have a minimum 24×24px clickable area via padding or min-height/min-width in CSS.","","https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright","INS-1E6C57C0; INS-836FD897; INS-12A6655F; INS-E3691E26; INS-1EE2D602; INS-47D713EE; INS-BAA09E91; INS-6914A3F2; INS-19D9E650; INS-F1BA6329; INS-11612407; INS-6F0C9429; INS-67F50851; INS-C064D2AC; INS-37ED96AD; INS-D10E50E9; INS-530D0F3C; INS-C4CDCD8A; INS-890AAC59; INS-A5C53B8A; INS-77F43484; INS-F23B5BB2; INS-463A943E; INS-E3E3F502; INS-2F30409D; INS-7153533A; INS-8C98F215; INS-7E72035D; INS-1DD3D540; INS-8547CE7B; INS-0B05280A; INS-39EDEAD3; INS-56862D54; INS-CD33C4CE; INS-7A5AFBEF; INS-28730DEB; INS-7E5CF8DC; INS-92A5E39D","/tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabledrag; /tabs; /tabs"
"6","DRUPAL-A11Y-006","DRU-6BA9E02D","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile | olivero-dark::dark::desktop | olivero-dark::dark::mobile | olivero::light::desktop | olivero::light::mobile","moderate","1.3.6","A","Identify Purpose","region","176","39%","YES","region: Ensure all page content is contained by landmarks",".themeswitcher-form__form-item","form-element.html.twig","See likely_template above","","","Ensure all visible content is inside a landmark element (<main>, <nav>, <aside>, <header>, <footer>). Check page.html.twig and block placement.","","https://dequeuniversity.com/rules/axe/4.11/region?application=playwright","INS-D8DE6AC1; INS-F0C4F2C1; INS-83E2F270; INS-A3BAFC54; INS-565D5E04; INS-E66D392C; INS-34D3B6E6; INS-3AE334AB; INS-D89718F7; INS-C8AC947D; INS-089837C7; INS-AD065F7B; INS-1F0E5C7A; INS-0420759A; INS-FBDFDDE1; INS-F6222FEA; INS-51A7195E; INS-866D8A1F; INS-26112C87; INS-37EFF8DC; INS-001C27FA; INS-38000B83; INS-C74D84C8; INS-FF2DB6B1; INS-EB461FD0; INS-DEB0E01D; INS-203E1CD2; INS-FA09BF07; INS-35D2713C; INS-7DC312DB; INS-E427825B; INS-6F951C47; INS-22C5B103; INS-88F5EE60; INS-2AE13BCB; INS-3AE351E7; INS-C15EEB54; INS-BCB4F132; INS-760F267C; INS-2E5FC9E0; INS-814B6CFE; INS-5882C95B; INS-FA2A20D1; INS-E20671AE; INS-924D863B; INS-B73E1074; INS-D059761D; INS-077300B7; INS-6671D464; INS-EE92CDEF; INS-26CD137D; INS-494B15C6; INS-206E1DCE; INS-CCBE2A0F; INS-18ECCC55; INS-B8AF800F; INS-115ABFF8; INS-BAEE3A35; INS-B5A36498; INS-C4CE338B; INS-F8D1D7E6; INS-F5AEF57A; INS-38B49EEF; INS-0769D6CD; INS-62B880CE; INS-71DFB250; INS-CE3E0BFE; INS-613A665F; INS-C0A71F89; INS-DF4DA25A; INS-CF919880; INS-17F11137; INS-F7B8F881; INS-76E12963; INS-3B1ECF24; INS-762B0C83; INS-548386BA; INS-922195A3; INS-7CFE618D; INS-E6B1F764; INS-30B71F0D; INS-57B6553C; INS-E4AA2E02; INS-DF13AB5A; INS-0D3ED81E; INS-F83D856B; INS-868C8A7E; INS-3D2920D2; INS-81C44978; INS-270738CF; INS-9118E488; INS-2E5F28D5; INS-BB8DE047; INS-DC077153; INS-343FB881; INS-6788C962; INS-0EF67DB9; INS-74810756; INS-63D59683; INS-20AC4120; INS-F21125DF; INS-636E78C8; INS-44C022F1; INS-B724274A; INS-0C9A0403; INS-9BDAC1ED; INS-ED5789D1; INS-CA3F486A; INS-6261BD8B; INS-AD498A59; INS-7BFD0B73; INS-6F860D5F; INS-66F0411F; INS-95DE8A2C; INS-5D29050A; INS-3E19E7EC; INS-53475AE4; INS-AEBAFC08; INS-B755019F; INS-9E2B5CF0; INS-59226044; INS-6F730C20; INS-BCA850CD; INS-E0049478; INS-704C3FBE; INS-FEB48EDD; INS-09A4B9FB; INS-32D20F60; INS-F85213DF; INS-FB25E7CB; INS-5663A0FA; INS-F1044BC7; INS-7CDF9E9F; INS-C1F48F13; INS-52BF86F6; INS-1F64C2B0; INS-2035201D; INS-4C77D31E; INS-8B47FF01; INS-54DEB294; INS-CD789B90; INS-4A732CB0; INS-99938DDE; INS-7A2B9144; INS-2DDBCF6D; INS-F88F3595; INS-3643D117; INS-CED52503; INS-FFA0B56A; INS-4C03CFAA; INS-E0F07AC5; INS-268F906D; INS-1836B535; INS-10BB8E04; INS-BC3B17C9; INS-4AA1B1B9; INS-94EA0EA1; INS-806AF88F; INS-F6796033; INS-8E336E32; INS-D1878989; INS-F8C6C7E7; INS-ED973753; INS-5FED7CB6; INS-164962E7; INS-4D0090DA; INS-F517503C; INS-CFCBB8DB; INS-08C28518; INS-A833DA67; INS-FCCC084E; INS-A8DE8EF1; INS-050A0C81; INS-7AC7F7D6; INS-0B3D8B00; INS-63D4E7CB","/admin; /admin; /admin/form_style; /admin/form_style; /admin/content; /admin/content; /node/add/article; /node/add/article; /node/add/page; /node/add/page; /admin/structure; /admin/structure; /admin/structure/types; /admin/structure/types; /admin/structure/types/add; /admin/structure/types/add; /admin/structure/taxonomy; /admin/structure/taxonomy; /admin/structure/taxonomy/add; /admin/structure/taxonomy/add; /admin/structure/block; /admin/structure/block; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /admin/people; /admin/people; /user/[id]/edit; /user/[id]/edit; /admin/config; /admin/config; /admin/config/content/formats; /admin/config/content/formats; /admin/config/content/formats/manage/restricted_html; /admin/config/content/formats/manage/restricted_html; /admin/config/system/site-information; /admin/config/system/site-information; /admin/reports; /admin/reports; /autocomplete; /autocomplete; /buttons; /buttons; /contact/checkbox_radio; /contact/checkbox_radio; /dialog; /dialog; /dropbutton; /dropbutton; /contact/field_cardinality_test; /contact/field_cardinality_test; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /fieldset; /fieldset; /contact/imagefile_file; /contact/imagefile_file; /contact/presuf_formatted; /contact/presuf_formatted; /contact/imagefile_image; /contact/imagefile_image; /admin/structure/display-modes/form/add/contact_message; /admin/structure/display-modes/form/add/contact_message; /message; /message; /cd-navigation/config; /cd-navigation/config; /contact/presuf_number; /contact/presuf_number; /tabs/format/plain_text; /tabs/format/plain_text; /password; /password; /progress; /progress; /contact/select; /contact/select; /node/add/cd; /node/add/cd; /table; /table; /tabledrag; /tabledrag; /tabs; /tabs; /contact/textform; /contact/textform; /contact/presuf_text; /contact/presuf_text; /contact/textarea; /contact/textarea; /; /; /action-link; /action-link; /user/login; /user/login; /user/register; /user/register; /user/password; /user/password; /search/node; /search/node; /this-page-does-not-exist; /this-page-does-not-exist; /admin; /admin; /admin/content; /admin/content; /admin/structure/types; /admin/structure/types; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /admin/people; /admin/people; /buttons; /buttons; /contact/checkbox_radio; /contact/checkbox_radio; /dropbutton; /dropbutton; /contact/field_cardinality_test; /contact/field_cardinality_test; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /contact/imagefile_file; /contact/imagefile_file; /contact/presuf_formatted; /contact/presuf_formatted; /contact/imagefile_image; /contact/imagefile_image; /message; /message; /contact/presuf_number; /contact/presuf_number; /tabs/format/plain_text; /tabs/format/plain_text; /progress; /progress; /contact/select; /contact/select; /tabledrag; /tabledrag; /tabs; /tabs; /contact/textform; /contact/textform; /contact/presuf_text; /contact/presuf_text; /contact/textarea; /contact/textarea; /user/login; /user/login; /user/password; /user/password; /admin/structure/block; /admin/structure/block; /admin/structure/types/manage/test_type/display/default; /admin/structure/types/manage/test_type/display/default; /tabs; /tabs; /admin/content; /admin/content; /admin/structure/types; /admin/structure/types; /admin/structure/taxonomy; /admin/structure/taxonomy; /admin/people; /admin/people; /admin/config/content/formats; /admin/config/content/formats; /user/[id]/edit; /user/[id]/edit"
"7","DRUPAL-A11Y-007","DRU-2E022F2F","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-contentinfo-is-top-level","22","5%","YES","landmark-contentinfo-is-top-level: Ensure the contentinfo landmark is at top level",".messages--error","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-contentinfo-is-top-level?application=playwright","INS-176AF555; INS-1E1F5949; INS-F35573C5; INS-90DB76B9; INS-C77800EB; INS-E1083638; INS-33B07066; INS-8F094E37; INS-35544EB1; INS-83F42AFC; INS-54574906; INS-20150FA9; INS-32AE2346; INS-6340BB49; INS-8EA427CF; INS-44531B14; INS-B015FF40; INS-91297A72; INS-73E2EA66; INS-216CF774; INS-EBE0F49A; INS-FF71DDFC","/admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /message; /message; /admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /message; /message; /message; /message; /message; /message; /message; /message; /admin/people; /admin/people; /admin/config; /admin/config"
"8","DRUPAL-A11Y-008","DRU-1260AB7D","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-no-duplicate-contentinfo","6","1%","YES","Status messages block uses role=""contentinfo"", duplicating the page <footer>",".messages--error","unknown","core/themes/claro/templates/misc/status-messages.html.twig     core/modules/system/templates/status-messages.html.twig","Status messages use role=""status"" (non-error) or role=""alert"" (errors)","<div role=""contentinfo"" aria-labelledby=""…""> — conflicts with the page footer landmark","Change the outer wrapper role based on message type:  {# Before (broken) #} <div role=""contentinfo"" aria-labelledby=""{{ title_ids[type] }}""…>  {# After (fixed) #} {%- set msg_role = (type == 'error') ? 'alert' : 'status' -%} <div role=""{{ msg_role }}"" aria-labelledby=""{{ title_ids[type] }}""…>","https://www.drupal.org/project/drupal/issues/new","https://dequeuniversity.com/rules/axe/4.11/landmark-no-duplicate-contentinfo?application=playwright","INS-0F387792; INS-594DA129; INS-D74E025B; INS-CD2D6DED; INS-217D3820; INS-1358DBF4","/admin/appearance; /admin/appearance; /admin/modules; /admin/modules; /message; /message"
"9","DRUPAL-A11Y-009","DRU-20662ED4","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.1","A","Info and Relationships","heading-order","24","5%","YES","heading-order: Ensure the order of headings is semantically correct","div[data-drupal-selector=""edit-test-datelist""] > h4","unknown","See likely_template above","","","Heading levels must not skip. Audit the page heading hierarchy and adjust template markup.","","https://dequeuniversity.com/rules/axe/4.11/heading-order?application=playwright","INS-F67227FA; INS-A876FF70; INS-FD2C0F28; INS-622EF2AF; INS-6C963C7F; INS-B0239B5D; INS-E6A19988; INS-568F7E0B; INS-AB298E5F; INS-166D9CDA; INS-8E91B483; INS-A5BF27C7; INS-62CA3978; INS-2B45D5B7; INS-49F53FC9; INS-B2A30286; INS-F48714B5; INS-5C51E39F; INS-F8772D3C; INS-B696306F; INS-79516607; INS-5A88424C; INS-1940F8CC; INS-9676EF18","/admin/form_style; /admin/form_style; /admin/content; /admin/content; /autocomplete; /autocomplete; /contact/field_cardinality_test; /contact/field_cardinality_test; /contact/presuf_formatted; /contact/presuf_formatted; /cd-navigation/config; /cd-navigation/config; /contact/presuf_number; /contact/presuf_number; /contact/presuf_text; /contact/presuf_text; /contact/textform; /contact/textform; /admin/form_style; /admin/form_style; /cd-navigation/config; /cd-navigation/config; /contact/textform; /contact/textform"
"10","DRUPAL-A11Y-010","DRU-338C31F8","admin-dark::dark::desktop | admin-dark::dark::mobile | admin::light::desktop | admin::light::mobile | claro-dark::dark::desktop | claro-dark::dark::mobile | claro::light::desktop | claro::light::mobile","moderate","1.3.6","A","Identify Purpose","landmark-unique","2","0%","no","landmark-unique: Ensure landmarks are unique",".messages--info","unknown","See likely_template above","","","See axe documentation.","","https://dequeuniversity.com/rules/axe/4.11/landmark-unique?application=playwright","INS-72820C3E; INS-C1AF88AE","/message; /message"
